,OBJECTID,SITE_NO,DEC_LAT_VA,DEC_LONG_V,LSElevFt,NHDStrmOrd,SiteType,WLElevFt,DTWFt,dtwBin,location,geometry_x,x,y,sim_top,sim_heads,model,WLm,DTWm,LSDm,sim_dtw_top,sim_dtw_lsd,dtw_res_top,dtw_res_lsd,res_wl_el,res_lsd,swgw,model_num,model_name
0,228,05333500,46.076111,-92.246667,891.929199219,5,SW,888.449199,5.21,5,Hydroregion 7,POINT (290750.7329999991 2571049.521),290750.7329999991,2571049.5209999997,283.6435229676129,274.11281900941975,huc_07030001_domain,270.7993158552,1.588008,271.8600199219512,9.530703958193158,617.8163802095803,-7.942695958193157,-616.2283722095804,-3.3135031542197453,608.285676251387,0,22,huc_07030001_domain
1,623,454115092061501,45.687449,-92.10435,1180.315063,1,GW,1111.315063,69.0,9,Hydroregion 7,POINT (303537.6348999999 2528376.700099999),303537.63489999995,2528376.700099999,354.8114401767407,347.5827554667385,huc_07030001_domain,338.72883120240004,21.031200000000002,359.7600312024,7.228684710002199,832.7323075332615,13.802515289997803,-811.7011075332615,-8.853924264338445,825.5036228232593,1,22,huc_07030001_domain
2,624,454301091542901,45.717167,-91.90825,1222.112915,1,GW,1220.785642,1.327273,2,Hydroregion 7,POINT (318665.8603000008 2532316.8353),318665.86030000076,2532316.8353000004,379.70745589409967,367.1674224189305,huc_07030001_domain,372.09546368160005,0.4045528104,372.500016492,12.540033475169139,854.9454925810694,-12.135480664769139,-854.5409397706694,4.928041262669524,842.4054591059003,1,22,huc_07030001_domain
3,625,454323091530501,45.723194,-91.884806,1226.443604,1,GW,1224.644715,1.798889,2,Hydroregion 7,POINT (320461.5932999998 2533064.598300001),320461.59329999983,2533064.5983000007,374.8098495584718,368.07475698217945,huc_07030001_domain,373.271709132,0.5483013672,373.8200104992,6.735092576292345,858.3688470178206,-6.186791209092346,-857.8205456506206,5.196952149820561,851.6337544415283,1,22,huc_07030001_domain
4,626,454323091530502,45.723194,-91.884806,1226.443604,1,GW,1215.011104,11.4325,6,Hydroregion 7,POINT (320461.5932999998 2533064.598300001),320461.59329999983,2533064.5983000007,374.8098495584718,368.07475698217945,huc_07030001_domain,370.3353844992,3.484626,373.8200104992,6.735092576292345,858.3688470178206,-3.2504665762923453,-854.8842210178206,2.2606275170205663,851.6337544415283,1,22,huc_07030001_domain
5,627,454447091545901,45.746583,-91.916444,1221.194336,1,GW,1214.729892,6.464444,5,Hydroregion 7,POINT (317887.7118000016 2535553.802300001),317887.71180000156,2535553.8023000006,369.9968754541446,365.26806447690615,huc_07030001_domain,370.2496710816,1.9703625312000002,372.2200336128,4.728810977238425,855.9262715230939,-2.7584484460384244,-853.9559089918939,4.981606604693866,851.1974605458554,1,22,huc_07030001_domain
6,628,454447091545902,45.746583,-91.916444,1221.194336,1,GW,1205.120336,16.074,6,Hydroregion 7,POINT (317887.7118000016 2535553.802300001),317887.71180000156,2535553.8023000006,369.9968754541446,365.26806447690615,huc_07030001_domain,367.3206784128,4.8993552000000005,372.2200336128,4.728810977238425,855.9262715230939,0.17054422276157588,-851.0269163230939,2.0526139358938735,851.1974605458554,1,22,huc_07030001_domain
7,629,454458091525701,45.749528,-91.882583,1223.228394,1,GW,1220.728394,2.5,3,Hydroregion 7,POINT (320507.8500000015 2535994.2684),320507.8500000015,2535994.2684000004,370.9037425199308,365.64607182661393,huc_07030001_domain,372.0780144912,0.762,372.8400144912,5.257670693316868,857.582322173386,-4.4956706933168675,-856.8203221733861,6.431942664586074,852.3246514800692,1,22,huc_07030001_domain
8,630,454458091525702,45.749528,-91.882583,1223.228394,1,GW,1182.097561,41.130833,8,Hydroregion 7,POINT (320507.8500000015 2535994.2684),320507.8500000015,2535994.2684000004,370.9037425199308,365.64607182661393,huc_07030001_domain,360.3033365928,12.5366778984,372.8400144912,5.257670693316868,857.582322173386,7.279007205083133,-845.045644274986,-5.342735233813926,852.3246514800692,1,22,huc_07030001_domain
9,631,454735092224001,45.793004,-92.377973,990.059082,5,GW,969.059082,21.0,7,Hydroregion 7,POINT (281781.7234000005 2539249.035800001),281781.7234000005,2539249.0358000007,302.8343243505002,299.85250946948287,huc_07030001_domain,295.3692081936,6.4008,301.7700081936,2.9818148810173284,690.2065725305172,3.418985118982672,-683.8057725305172,-4.483301275882866,687.2247576494998,1,22,huc_07030001_domain
10,745,461330091560411,46.224942,-91.934632,1047.112915,1,GW,1046.182915,0.93,1,Hydroregion 7,POINT (314202.0505000018 2588540.908199999),314202.05050000176,2588540.9081999995,326.69068801660984,321.3651363957332,huc_07030001_domain,318.87655249200003,0.28346400000000005,319.160016492,5.325551620876638,725.7477786042667,-5.042087620876638,-725.4643146042667,-2.488583903733172,720.4222269833901,1,22,huc_07030001_domain
11,746,461333091562011,46.225775,-91.939077,1043.307129,1,GW,1042.307129,1.0,1,Hydroregion 7,POINT (313854.8090000004 2588618.5723),313854.80900000036,2588618.5723,325.2431981724726,321.25244424463125,huc_07030001_domain,317.6952129192,0.3048,318.0000129192,3.9907539278413537,722.0546847553687,-3.6859539278413536,-721.7498847553687,-3.557231325431246,718.0639308275274,1,22,huc_07030001_domain
12,747,461333091562013,46.225775,-91.939077,1043.307129,1,GW,1041.657129,1.65,2,Hydroregion 7,POINT (313854.8090000004 2588618.5723),313854.80900000036,2588618.5723,325.2431981724726,321.25244424463125,huc_07030001_domain,317.4970929192,0.50292,318.0000129192,3.9907539278413537,722.0546847553687,-3.4878339278413537,-721.5517647553687,-3.7553513254312634,718.0639308275274,1,22,huc_07030001_domain
13,748,461340091561811,46.22772,-91.938521,1056.692993,1,GW,1055.852993,0.84,1,Hydroregion 7,POINT (313888.5011 2588835.888900001),313888.5011,2588835.8889000006,323.1178662355163,321.31606914213944,huc_07030001_domain,321.8239922664,0.256032,322.08002426639996,1.8017970933768765,735.3769238578604,-1.5457650933768765,-735.1208918578604,0.5079231242605715,733.5751267644836,1,22,huc_07030001_domain
