,tau_glac,tau_bed,tau_tot,rech_vol,rech_frac,Kf,Kc,Kb,vani,hydro,topo,num_active,num_active_surf,aq_vol,fKf_vol,fKc_vol,fKlake_vol,fKb_vol,drn_dens_area,model
Assabet,2.1696391105651855,62.662269592285156,14.156905174255371,270958.0,0.19099999964237213,6.812920690579611,68.12920690579611,0.6812920690579612,31.62277603149414,0.08228571428571428,0.08370457209847597,44620.0,11155.0,36613437449.67118,0.04630798771625772,0.07679625410343979,0.005107839018764753,0.8717879191615379,0.24464365755266695,assabet
Board2,84.46009826660156,713.0630493164062,113.87232971191406,100996.0,0.04100000113248825,1.4677992676220697,3.1622776601683795,0.31622776601683794,316.2277526855469,0.17822759812392006,0.18250153164616614,185956.0,46489.0,509193496802.70087,0.4170965534738273,0.3014149927444337,0.020945183189666993,0.26054327059207183,0.12103938566112414,board2
CONN,2.140655040740967,638.4795532226562,13.031010627746582,5616.0,0.017000000923871994,6.812920690579611,31.622776601683796,0.031622776601683784,316.2277526855469,0.09394313967861558,0.08976660682226212,9920.0,2480.0,7835978997.34334,0.12411686380307836,0.011710893299581429,0.00046921731905526264,0.8637030255782848,0.33064516129032256,conn
IA_Willow_02,140.39175415039062,2948.93896484375,193.72596740722656,13428.0,0.017999999225139618,1.0,10.0,0.1,100.0,0.01699181875393329,0.021295252411374168,102152.0,25538.0,262673650918.3974,0.65385567171075,0.07062980617600263,9.178302979100125e-05,0.2754227390834562,0.2359620957005247,ia_willow_02
IL_West_Fork_Mazon_03,24.82904052734375,114.58152770996094,58.3693733215332,379078.0,0.2930000126361847,6.812920690579611,31.622776601683796,3.1622776601683795,31.62277603149414,0.04525547445255475,0.03733614707195325,112264.0,28066.0,138045178756.8757,0.41466473642145046,0.008181010028388806,0.0014301993784547474,0.575724054171706,0.26644338345328866,il_west_fork_mazon_03
Kala2,28.69180679321289,120.57835388183594,50.05636978149414,728403.0,0.1770000010728836,3.1622776601683795,14.677992676220688,6.812920690579611,316.2277526855469,0.05553812362723565,0.055834029518240035,226592.0,56648.0,375808673539.6127,0.24027291048518923,0.32308039387291737,0.009725093040780673,0.4269216026011129,0.1727510238666855,kala2
MN_Talcot_Lake-Des_Moines_04,189.60182189941406,104.88700866699219,253.55032348632812,514053.0,0.6100000143051147,0.31622776601683794,0.6812920690579612,6.812920690579611,3.1622776985168457,0.02646845540246556,0.01867524437088161,139116.0,34779.0,390412096366.35114,0.6240493783544923,0.1170783024594627,0.006642297034443184,0.2522300221516021,0.21607866816182178,mn_talcot_lake-des_moines_04
MO_U16_Mississippi,21.128910064697266,63.32867431640625,51.0253791809082,1156107.0,0.47200000286102295,0.31622776601683794,68.12920690579611,3.1622776601683795,3.1622776985168457,0.0493351320100212,0.0490401640108098,192452.0,48113.0,228204903437.53925,0.3236212956613551,0.08736024013527564,0.00041160882156010103,0.5886068553818092,0.31195311038596635,mo_u16_mississippi
MO_Wildcat_02,27.354358673095703,70.26725769042969,66.88643646240234,1972296.0,0.5630000233650208,0.6812920690579612,6.812920690579611,1.4677992676220697,3.1622776985168457,0.01604456824512535,0.02,370900.0,92725.0,428226812980.0922,0.3389982435788561,0.06310296090617322,0.00022186818880196512,0.5976769273261691,0.2415206255055271,mo_wildcat_02
NE_Upper_Logan_Creek_02,82.15792083740234,227.5577392578125,144.35792541503906,200063.0,0.27300000190734863,1.4677992676220697,3.1622776601683795,1.4677992676220697,31.62277603149414,0.016089712335446125,0.016147931160746982,117444.0,29361.0,192960619632.76007,0.5452527940358094,0.023850688802397463,1.3480097952329343e-05,0.430883037063841,0.24157896529409761,ne_upper_logan_creek_02
