,DATES,DATES.1,NetworkTyp,SuCode,Trit,jdate,well,cov,calc_3H_,por,model
0,2010-06-09,2010-06-09,LUS,necblusrc1,6.5,2455356.5,422651071242601,410452511.52854735,12.939777183532872,0.15729588389793847,Assabet
1,2010-05-27,2010-05-27,LUS,necblusrc1,6.32,2455343.5,421655071360301,0.006710044758622449,8.5127592180637,0.3999999991509052,Assabet
2,2011-05-10,2011-05-10,SUS,necbsus3,2.96,2455691.5,422029071223701,7.741027861933921e-05,3.631679317209264,0.010000000000000932,Assabet
0,2014-08-14,2014-08-14,PAS,glacpas1,8.73,2456883.5,445400085020001,0.0007884918175169488,8.729999986438571,0.14548941263668516,Board2
0,2004-11-04,2004-11-04,TANC,conntanc,7.23,2453313.5,413130073113601,12.43668433382672,13.852312000547284,0.30215481826435925,CONN
1,2005-02-15,2005-02-15,TANC,conntanc,7.92,2453416.5,413130073113602,17.43630710793137,13.729673119752064,0.31739351068848115,CONN
2,2004-08-19,2004-08-19,TANC,conntanc,6.48,2453236.5,413135073122401,21.71957867091312,3.4905884595638184,0.021631832343708808,CONN
3,2004-12-27,2004-12-27,TANC,conntanc,0.06,2453366.5,413122073122505,7.278132768201925,0.4666571136846807,0.07793515343509258,CONN
4,2003-11-12,2003-11-12,TANC,conntanc,7.54,2452955.5,413127073122402,0.4217296751934908,15.473971730920962,0.3999999999999993,CONN
5,2003-11-20,2003-11-20,TANC,conntanc,6.84,2452963.5,413126073121102,0.1061911607574142,16.44241585364013,0.4,CONN
6,2003-12-30,2003-12-30,TANC,conntanc,6.57,2453003.5,413121073122701,0.0018826504909087692,4.9833840773035325,0.3999999999996173,CONN
7,2003-12-30,2003-12-30,SWQA,conndwgs1,6.57,2453003.5,413121073122701,0.0018826504909087692,4.9833840773035325,0.3999999999996173,CONN
8,2004-08-11,2004-08-11,TANC,conntanc,6.15,2453228.5,413121073122701,0.0018826504909087692,4.818919514801143,0.3999999999996173,CONN
9,2004-08-11,2004-08-11,SWQA,conndwgs1,6.15,2453228.5,413121073122701,0.0018826504909087692,4.818919514801143,0.3999999999996173,CONN
10,2003-12-10,2003-12-10,TANC,conntanc,5.75,2452983.5,413129073122001,13.08357634621425,3.7449798087982873,0.3999999999999613,CONN
11,2003-12-29,2003-12-29,TANC,conntanc,6.08,2453002.5,413129073122002,13.041222920666886,3.7358370339442684,0.3999999999999925,CONN
12,2003-12-22,2003-12-22,TANC,conntanc,7.34,2452995.5,413129073122003,24.16949824769939,14.954856518548171,0.2623155838308489,CONN
13,2007-09-26,2007-09-26,SUS,connsus2,6.02,2454369.5,413225073130401,21497.18839493456,2.6920830602898262,0.3632366350459757,CONN
14,2003-12-09,2003-12-09,TANC,conntanc,6.8,2452982.5,413126073121101,0.10521215649019064,16.385555730294108,0.4,CONN
15,2003-12-16,2003-12-16,TANC,conntanc,6.58,2452989.5,413122073122401,0.009473783244892543,3.9117748824565566,0.3999999999920035,CONN
16,2003-11-13,2003-11-13,TANC,conntanc,6.19,2452956.5,413127073122401,0.009370760087621407,3.9355499675370007,0.39999999979288414,CONN
17,2004-08-23,2004-08-23,TANC,conntanc,6.16,2453240.5,413135073122402,99.7166605067972,3.491994800947369,0.021705287179591862,CONN
