,add_gamma,add_invgauss,add_weibull_min,imp_gamma,imp_invgauss,imp_weibull_min,uni_gamma,uni_invgauss,uni_weibull_min,best,worst
Assabet,0.004705036369146901,0.005335425712488355,0.002265485829328059,0.008425948165726541,0.146532072092679,0.0031919554788499235,0.019561405409504292,0.015697473610004776,0.0374108355284796,add_weibull_min,imp_invgauss
Board2,0.005469763655747888,0.008577437716108322,0.0051948063370536425,,0.20600312846762117,0.004276584223695106,0.005469763655748187,0.008577437716083726,0.016449827871790366,imp_weibull_min,imp_invgauss
CONN,0.003651761303061928,0.0038021398342064586,0.002675587957489792,0.006256795099779194,0.17822882056167266,0.1734671037725095,0.020876262167823897,0.023491345478072086,0.011795696583124102,add_weibull_min,imp_invgauss
IA_Willow_02,,0.011285026685876247,0.0023151680472369425,0.011181872551642078,0.012213569356666806,0.008224313272853102,0.012151823058857807,0.013065622500268508,0.02133986546603809,add_weibull_min,uni_weibull_min
IL_West_Fork_Mazon_03,0.005300392617600753,0.005213339797098638,0.0027807835262510325,0.005579402556327345,,0.0033963540096877834,0.005908623648602227,0.007482873933459292,0.02072441846015723,add_weibull_min,uni_weibull_min
Kala2,0.009698514043013947,0.009588644526538877,0.006401050867435034,,0.1853332683262414,0.0074217555345423665,0.009698514043011029,0.009588644526541368,0.024000342264283412,add_weibull_min,imp_invgauss
MN_Talcot_Lake-Des_Moines_04,0.019368700337235797,0.021193923759569397,0.0040250275013391556,0.007191225837258758,0.017665873619432167,0.00623389098817641,0.021957265945461678,0.024585718775825306,0.011193341121395492,add_weibull_min,uni_invgauss
MO_U16_Mississippi,0.01799778052509256,0.021214834754703003,0.004215450535461599,0.006616951399750266,0.007489569245318277,0.004840075099948615,0.017997780525094455,0.021214816079237413,0.013696747615201678,add_weibull_min,add_invgauss
MO_Wildcat_02,0.00569276874050756,0.013640361600865434,0.0052312100683113635,0.006198614716836785,0.007417928442244379,0.005238944818436093,0.017896444986455914,0.0211158351654751,0.007181645692174561,add_weibull_min,uni_invgauss
NE_Upper_Logan_Creek_02,0.010974435670208994,0.01340516852600831,0.005079059730402886,0.011291633834350724,0.012168476531609478,0.011128677355035995,0.012176922869304484,0.013405168526007476,0.02086652561873673,add_weibull_min,uni_weibull_min
NY_Ramapo_02,0.0039837136032316285,0.016473083397630758,0.002151236806808059,0.003996844732012655,0.004780512844994007,0.003225199617357808,0.01780990618640987,0.022022749588031708,0.004629816850030635,add_weibull_min,uni_invgauss
NorthSkunk,0.011054100633179341,0.02488758860683047,0.005349800028281079,0.009575772884615362,0.010246105629637901,0.0058350261125099025,0.03153470143670941,0.03449859915283205,0.012325679855785117,add_weibull_min,uni_invgauss
